file,size_kb,ptx_version,sm_target,kernel_count,total_static_instructions,unique_opcodes,max_vreg_per_kernel,shared_mem_max_bytes,l2_pressure_score,l2_contention_risk,coalescing_ratio,shared_to_global_ratio,arithmetic_intensity,atomic_density_per1k,primary_domain,compute,memory,overhead,ld_global,st_global,ld_shared,st_shared,atom_global,red_global,cp_async,vector_ld,coalesced_patterns,uncoalesced_patterns,shared_bank_risk,predicated_branches
002ec0148563888292f3fa0606f560c22c9724f955e1401a7ac9c9db95ef2938.ptx,966.27,unknown,unknown,1,127,26,50,0,25,LOW,1.0,0.0,2.44,0.0,HPC_STENCIL,68,34,25,19,6,0,0,0,0,0,0,5,0,0,7
0031a83ac0a421cd31eb2efd8ba3c70a356974515bbedd1b6de66340bf974ae6.ptx,1003.12,unknown,unknown,1,1300,89,513,0,98,MEDIUM,1.0,0.0,2.321,9.23,HPC_LINEAR_ALGEBRA,691,265,344,50,0,0,0,12,0,0,0,33,0,0,95
003bd8388a0c35d0be06d621171de84e626e9094b5bbad11fda19ba92f5659bf.ptx,962.14,unknown,unknown,1,21,13,9,0,2,LOW,1.0,0.0,3.0,0.0,UNKNOWN,7,6,8,1,1,0,0,0,0,0,0,1,0,0,1
003f749fc589715805af671fb90d3367210f2b794800dd730aff0b6f23d098dd.ptx,962.16,unknown,unknown,1,23,14,10,0,3,LOW,1.0,0.0,2.0,0.0,HPC_STENCIL,7,6,10,1,2,0,0,0,0,0,0,2,0,0,1
0045527b9e381f06189f09d62114ae9a90bdc5a02c2b23ffa0f7f5e6347ed4fe.ptx,962.73,unknown,unknown,1,39,15,24,0,4,LOW,1.0,0.0,4.0,0.0,GRAPHICS_RENDERING,18,9,12,4,0,0,0,0,0,0,0,4,0,0,1
0047d6a4ffe307dbe3cb9b7d108dfce16780a124a8652e17c78e91ce9a425cdf.ptx,963.98,unknown,unknown,1,79,22,57,0,2,LOW,1.0,1.0,6.75,0.0,HPC_LINEAR_ALGEBRA,37,10,32,1,1,1,1,0,0,0,0,2,0,0,9
005b983a0c21669a723cba4485de0268796506c289ce0bb37e52c16505904d96.ptx,967.4,unknown,unknown,1,157,25,107,0,33,LOW,1.0,0.0,1.212,0.0,HPC_STENCIL,57,42,58,25,8,0,0,0,0,0,0,6,0,0,25
0065c1ebbebc51ddb777dccbd2fc006a28f237741297274eb4fb5c0e8dd951be.ptx,973.45,unknown,unknown,1,372,50,90,0,5,LOW,1.0,0.0,0.426,0.0,HPC_LINEAR_ALGEBRA,92,183,97,2,3,0,0,0,0,0,0,2,0,0,4
006d08e91571f5402171d09656176466d8c090355bbfce2e0b6400f32be51a40.ptx,967.81,unknown,unknown,1,205,25,100,0,19,LOW,,0.0,3.947,0.0,IMAGE_PROCESSING,97,25,83,18,1,0,0,0,0,0,0,0,0,0,12
007ae22d6f8717858122bbb8abe9ea4a11f1f1cead8139914fddb2046fe15499.ptx,962.33,unknown,unknown,1,25,14,15,0,3,LOW,1.0,0.0,2.0,0.0,UNKNOWN,8,7,10,2,1,0,0,0,0,0,0,1,0,0,2
0089115e12b18d7221ec08d5094e5ca070a47900c44271bbb7e520122b660339.ptx,970.67,unknown,unknown,1,291,38,113,0,25,LOW,1.0,0.0,5.32,0.0,HPC_LINEAR_ALGEBRA,171,34,86,24,1,0,0,0,0,0,0,10,0,0,5
009287c3cdbe4abc18c19c9c8f3990d383aec3dd57ea7f2ae85ab4a226448e9f.ptx,967.99,unknown,unknown,1,212,15,78,0,58,MEDIUM,1.0,0.0,0.241,0.0,HPC_STENCIL,64,63,85,55,3,0,0,0,0,0,0,3,0,0,50
009d677be39c6daf27ea455ce522b7fdaf4bf160b16276516dd08f637b1effb5.ptx,966.61,unknown,unknown,1,170,20,67,0,48,LOW,1.0,0.0,1.542,0.0,DATA_ANALYTICS,108,52,10,32,16,0,0,0,0,0,0,4,0,0,2
00a13f9aff03faf202d53a0fa3ac102e75871a72969c0201cec54b155c7b3379.ptx,966.2,unknown,unknown,1,167,27,132,0,5,LOW,1.0,5.8,1.294,0.0,CRYPTOGRAPHY,61,37,69,3,2,19,10,0,0,0,0,3,0,0,17
00ab7945ef87294cf68595463996d775123eca67029b4995ee6b38a91eed7d3f.ptx,963.15,unknown,unknown,1,40,18,17,0,3,LOW,1.0,0.0,3.333,0.0,UNKNOWN,16,11,13,2,1,0,0,0,0,0,0,1,0,0,5
00acf89ae00102e703fb9d0df52064c4bb90ff5b2284965e755ebe661e2ef09f.ptx,961.8,unknown,unknown,1,12,8,11,0,0,NONE,,,,0.0,UNKNOWN,5,1,6,0,0,0,0,0,0,0,0,0,0,0,2
00c86ff3c8055fc1cd58dce941d03a484b7a4d9159adb9d70af502ec35bb772d.ptx,962.85,unknown,unknown,1,39,21,17,0,3,LOW,1.0,0.0,6.333,0.0,FINANCE_QUANT,21,8,10,2,1,0,0,0,0,0,0,1,0,0,2
00cc130b3f792e02cfd5eec1852a67bb472b3c45567ab85d5ec95f5b8a884d7c.ptx,962.3,unknown,unknown,1,30,16,10,0,5,LOW,1.0,0.0,1.2,0.0,UNKNOWN,10,8,12,3,2,0,0,0,0,0,0,2,0,0,4
00ce880a8d44c85f2b57857ad1f1e3f0dad2065142ee2a75cccb083de9f699f0.ptx,963.29,unknown,unknown,1,40,16,24,0,6,LOW,,0.0,1.5,0.0,HPC_STENCIL,11,11,18,3,3,0,0,0,0,0,0,0,0,0,2
00d1664937e759751e340f352bca5178dfc4ce686700d3706ef6a53fa1e12261.ptx,962.51,unknown,unknown,1,28,14,14,0,4,LOW,1.0,0.0,2.5,0.0,UNKNOWN,11,9,8,3,1,0,0,0,0,0,0,1,0,0,1
00d2115779cada9a6e58aaafb48a9e74aef60ecc79cfe68eadece533369d488a.ptx,962.76,unknown,unknown,1,38,23,14,0,3,LOW,1.0,0.0,2.667,0.0,HPC_LINEAR_ALGEBRA,11,9,18,2,1,0,0,0,0,0,0,1,0,0,3
00d3d81411159d069982a5d253485df55a3a071b9c3684ef1ffbea102a803567.ptx,969.67,unknown,unknown,1,265,27,106,0,45,LOW,1.0,0.0,3.067,0.0,HPC_STENCIL,156,52,57,42,3,0,0,0,0,0,0,13,0,0,19
00db7ac139db78455d1e11b2ff0a7ae79993b7fb84f04d45eaa1431a1f81231c.ptx,971.04,unknown,unknown,1,282,37,222,0,78,MEDIUM,1.0,0.0,0.821,0.0,HPC_STENCIL,86,83,113,36,42,0,0,0,0,0,0,7,0,0,12
00e6773b8cb75a27be6b66da43b1f99c5abdac7ef3bb6d1d615c9acfa8141ad9.ptx,964.44,unknown,unknown,1,88,26,53,0,12,LOW,,0.0,2.667,0.0,HPC_LINEAR_ALGEBRA,38,19,31,11,1,0,0,0,0,0,0,0,0,0,6
00e93370ec583be608e5f7f67209f0729fec681328ff0942fb87a8555105da82.ptx,963.53,unknown,unknown,1,69,24,29,0,10,LOW,1.0,0.0,2.8,0.0,HPC_STENCIL,33,13,23,5,5,0,0,0,0,0,0,4,0,0,5
00ea77cc81262aa0ad29161874d968238366c7c12a76f23ab119b9eabc075bca.ptx,963.57,unknown,unknown,1,73,28,43,0,11,LOW,0.75,0.0,4.125,0.0,IMAGE_PROCESSING,37,12,24,7,1,0,0,0,0,0,0,3,1,0,1
00f7f4eab7c36fa7485368b58af097303cefd40843627f850cb61f52831b9d06.ptx,964.74,unknown,unknown,1,63,31,28,0,6,LOW,1.0,0.333,1.091,0.0,HPC_STENCIL,15,20,28,5,1,1,1,0,0,0,0,2,0,0,4
00fa06f1c83d65edaa99991be75d40db9871c93e2415ffa09ddceeec1932280c.ptx,962.18,unknown,unknown,1,24,14,16,0,2,LOW,1.0,0.0,6.5,0.0,UNKNOWN,13,6,5,1,1,0,0,0,0,0,0,2,0,0,0
00faca63933892a9e86ec571cba2cd7e1dac78eec03ba1d52ba86b8011dea5c5.ptx,962.39,unknown,unknown,1,27,15,14,0,3,LOW,1.0,0.0,2.667,0.0,UNKNOWN,11,7,9,2,1,0,0,0,0,0,0,1,0,0,1
01033d1d0f339f92f73115986ec473921da12de132752594005007e2410ecc27.ptx,962.24,unknown,unknown,1,27,12,12,0,3,LOW,1.0,0.0,2.667,0.0,HPC_STENCIL,9,7,11,2,1,0,0,0,0,0,0,1,0,0,1
01192e8b097a26e904c437aa2655cf783ab7b31e468fb02cb637a932ccc75cc7.ptx,962.28,unknown,unknown,1,33,17,9,0,5,LOW,1.0,0.0,1.6,0.0,HPC_STENCIL,14,7,12,3,2,0,0,0,0,0,0,2,0,0,4
011b8e827367a4f133eb655bfeaa3f2b73a589fddc63d84a27128b18caa8757d.ptx,961.9,unknown,unknown,1,15,8,11,0,3,LOW,1.0,0.0,1.667,0.0,HPC_LINEAR_ALGEBRA,5,6,4,2,1,0,0,0,0,0,0,1,0,0,0
011c190bab3d67db8905071f6386c07aeb2153be2432f3da8d8a70f3b71184d2.ptx,968.36,unknown,unknown,1,216,25,105,0,89,MEDIUM,0.062,0.0,1.955,0.0,IMAGE_PROCESSING,88,49,79,26,18,0,0,0,0,0,0,1,15,0,1
0120c9431f5079078722e49f06d65a73a7d4206f2a2b62bd7f06068f22852475.ptx,962.21,unknown,unknown,1,27,10,17,0,2,LOW,1.0,0.0,4.5,0.0,HPC_STENCIL,9,5,13,1,1,0,0,0,0,0,0,1,0,0,0
0129f572b35db63104e8e3d7203a5740a3c84d9f4d0e82170d3b8fd5c45695e7.ptx,967.33,unknown,unknown,1,164,43,99,0,2,LOW,1.0,0.0,34.0,0.0,HPC_LINEAR_ALGEBRA,79,5,80,1,1,0,0,0,0,0,0,1,0,0,7
012ca16d279a68bf46c09b3182ef03d26d4a437df0ecffa997e3379690ff7825.ptx,961.81,unknown,unknown,1,13,10,7,0,1,LOW,1.0,0.0,3.0,0.0,UNKNOWN,4,3,6,0,1,0,0,0,0,0,0,1,0,0,1
0137a008ee611c74e34ff6ac6c6769b30aa56d8032b8148a70b136ba3741ca09.ptx,962.55,unknown,unknown,1,38,16,24,0,4,LOW,1.0,2.5,0.786,0.0,UNKNOWN,12,16,10,3,1,7,3,0,0,0,0,1,0,0,1
014584e8a735e76b632d6b7ee7f55a6614bddacd321f25f56f8096f6b53380d2.ptx,962.56,unknown,unknown,1,30,16,14,0,3,LOW,1.0,0.0,3.667,0.0,UNKNOWN,13,8,9,2,1,0,0,0,0,0,0,2,0,0,2
014d492565c4d7044ab12964a9ffd3d01c617e1634b09e1a44e330645be2b9f2.ptx,962.19,unknown,unknown,1,24,16,11,0,3,LOW,1.0,0.0,2.333,0.0,HPC_LINEAR_ALGEBRA,9,7,8,2,1,0,0,0,0,0,0,1,0,0,2
01590259e5bd401d9253b226f03bce0f438a5dacb45781acff70e540ec11aad2.ptx,962.95,unknown,unknown,1,46,19,26,0,6,LOW,1.0,0.0,2.667,0.0,UNKNOWN,22,10,14,1,5,0,0,0,0,0,0,3,0,0,6
016cf3ef2304a111fbeb288457e772c18b04b44d3d83828d24c3a1eaaad7fbbe.ptx,966.53,unknown,unknown,1,153,26,92,0,7,LOW,0.75,12.5,0.981,0.0,HPC_LINEAR_ALGEBRA,61,61,31,3,1,48,2,0,0,0,0,3,1,0,6
01754bcfd1d32d30fae39fdddf2ad66c01f2ebef85672ad6cffa7fdb8aa3aeb5.ptx,962.65,unknown,unknown,1,41,21,15,0,2,LOW,1.0,2.5,1.143,0.0,CRYPTOGRAPHY,13,10,18,1,1,3,2,0,0,0,0,2,0,0,5
0180ce9af4e31cc88f9a36505f974a58f5940ef64bd0ecef74cf21f23609060c.ptx,963.69,unknown,unknown,1,62,24,47,0,2,LOW,1.0,1.0,5.25,0.0,CRYPTOGRAPHY,23,10,29,1,1,1,1,0,0,0,0,2,0,0,2
018e46643f1b31c4414865c2f8beaa8d34ed59e837155004dc6b575868a01c23.ptx,963.84,unknown,unknown,1,83,23,56,0,6,LOW,1.0,10.0,1.0,12.05,CRYPTOGRAPHY,29,26,28,2,0,10,10,1,0,0,0,2,0,0,7
018e76afdd7d29b146d98a4409a78f255f469e35a5a2f11163d28cd4f7640949.ptx,961.94,unknown,unknown,1,18,9,11,0,3,LOW,1.0,0.0,2.0,0.0,UNKNOWN,6,6,6,2,1,0,0,0,0,0,0,1,0,0,0
