file,size_kb,ptx_version,sm_target,kernel_count,total_static_instructions,unique_opcodes,max_vreg_per_kernel,shared_mem_max_bytes,l2_pressure_score,l2_contention_risk,coalescing_ratio,shared_to_global_ratio,arithmetic_intensity,atomic_density_per1k,primary_domain,compute,memory,overhead,ld_global,st_global,ld_shared,st_shared,atom_global,red_global,cp_async,vector_ld,coalesced_patterns,uncoalesced_patterns,shared_bank_risk,predicated_branches
00000_1_Conv2D_ReLU_BiasAdd.ptx,7.15,8.5,sm_87,1,125,29,57,0,17,LOW,1.0,0.0,3.059,0.0,AI_TRAINING,63,31,31,16,1,0,0,0,0,0,0,6,0,0,11
00000_1_MLP.ptx,1.29,8.5,sm_87,0,0,0,0,0,0,NONE,,,,0,DATA_MODULE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00000_1_Square_matrix_multiplication_.ptx,6.13,8.5,sm_87,1,122,22,63,0,3,LOW,1.0,11.333,1.081,0.0,AI_TRAINING,48,41,33,2,1,32,2,0,0,0,0,2,0,0,5
00001_block_size_optimized_base.ptx,7.78,8.5,sm_87,1,170,22,111,0,3,LOW,1.0,22.0,0.812,0.0,AI_TRAINING,64,73,33,2,1,64,2,0,0,0,0,2,0,0,5
00001_modular_conv2d_relu_bias_base.ptx,7.55,8.5,sm_87,1,128,29,57,0,17,LOW,1.0,0.0,3.118,0.0,AI_TRAINING,64,31,33,16,1,0,0,0,0,0,0,6,0,0,11
00002_mlp_optimized_base.ptx,6.94,8.5,sm_87,1,137,29,66,0,4,LOW,1.0,8.5,1.158,0.0,AI_TRAINING,56,46,35,3,1,32,2,0,0,0,0,4,0,0,6
00002_stride_loop_matmul_base.ptx,10.5,8.5,sm_87,1,262,29,123,0,9,LOW,1.0,8.444,0.929,0.0,AI_TRAINING,96,89,77,8,1,64,12,0,0,0,0,3,0,0,14
00003_stream_pipeline_base.ptx,8.33,8.5,sm_87,2,169,25,33,0,24,LOW,1.0,0.0,2.875,0.0,AI_TRAINING,83,38,48,22,2,0,0,0,0,0,0,12,0,0,12
00003_tiled_coalesced_unroll_base.ptx,7.81,8.5,sm_87,1,170,23,111,0,3,LOW,1.0,22.0,0.826,0.0,AI_TRAINING,65,73,32,2,1,64,2,0,0,0,0,2,0,0,5
00004_1_MLP_minimized_divergence_base.ptx,2.29,8.5,sm_87,1,15,13,6,0,2,LOW,1.0,0.0,2.0,0.0,AI_TRAINING,5,4,6,1,1,0,0,0,0,0,0,1,0,0,1
00004_unrolled_conv2d_relu_bias_base.ptx,7.53,8.5,sm_87,1,125,29,57,0,17,LOW,1.0,0.0,3.059,0.0,AI_TRAINING,63,31,31,16,1,0,0,0,0,0,0,6,0,0,11
00005_1_MLP_optimized_block_size_base.ptx,2.29,8.5,sm_87,1,15,13,6,0,2,LOW,1.0,0.0,2.0,0.0,AI_INFERENCE,5,4,6,1,1,0,0,0,0,0,0,1,0,0,1
00006_aligned_vectorized_matmul_base_base.ptx,9.72,8.5,sm_87,1,225,29,121,0,5,LOW,1.0,15.2,0.802,0.0,AI_TRAINING,83,85,57,4,1,64,12,0,0,0,2,4,0,0,13
00007_dense_nosync_fused_base.ptx,5.22,8.5,sm_87,1,89,28,33,0,12,LOW,1.0,0.0,2.833,0.0,AI_TRAINING,44,20,25,11,1,0,0,0,0,0,0,6,0,0,6
00008_shared_memory_reuse_optimization_base_base.ptx,8.09,8.5,sm_87,1,170,22,111,0,3,LOW,1.0,22.0,0.812,0.0,AI_TRAINING,64,73,33,2,1,64,2,0,0,0,0,2,0,0,5
00009_efficient_thread_block_mapping_base_base.ptx,8.0,8.5,sm_87,1,169,22,111,0,3,LOW,1.0,22.0,0.797,0.0,AI_TRAINING,63,73,33,2,1,64,2,0,0,0,0,2,0,0,5
00009_strided_conv2d_relu_bias_base.ptx,7.62,8.5,sm_87,1,130,29,62,0,17,LOW,1.0,0.0,3.176,0.0,AI_TRAINING,66,31,33,16,1,0,0,0,0,0,0,6,0,0,12
00010_streamed_conv2d_relu_bias_base.ptx,7.78,8.5,sm_87,1,124,29,56,0,17,LOW,1.0,0.0,2.941,0.0,AI_TRAINING,61,32,31,16,1,0,0,0,0,0,0,6,0,0,11
00010_workload_balancing_optimization_base.ptx,7.9,8.5,sm_87,1,168,24,111,0,3,LOW,1.0,22.0,0.812,0.0,AI_TRAINING,62,73,33,2,1,64,2,0,0,0,0,3,0,0,5
00011_1_MLP_modular_device_functions_base.ptx,5.23,8.5,sm_87,2,86,24,32,0,14,LOW,1.0,0.0,2.214,0.0,AI_TRAINING,38,22,26,12,2,0,0,0,0,0,0,5,0,0,7
00011_shared_mem_conv2d_relu_bias_base.ptx,10.31,8.5,sm_87,1,204,32,117,0,5,LOW,1.0,3.2,3.333,0.0,AI_TRAINING,96,34,74,4,1,14,2,0,0,0,0,4,0,0,20
00012_atomic_reduction_optimization_base_base.ptx,7.96,8.5,sm_87,1,170,22,112,0,6,LOW,1.0,33.0,0.824,5.88,AI_TRAINING,64,73,33,2,0,64,2,1,0,0,0,1,0,0,5
00012_tiled_atomic_conv2d_relu_bias_base.ptx,8.34,8.5,sm_87,1,142,31,66,0,17,LOW,1.0,0.118,2.789,0.0,HPC_STENCIL,66,33,43,16,1,1,1,0,0,0,0,6,0,0,13
00013_tiled_opt_base.ptx,8.71,8.5,sm_87,1,198,25,113,0,5,LOW,1.0,13.4,0.875,0.0,AI_TRAINING,73,76,49,4,1,64,3,0,0,0,0,3,0,0,6
00014_builtin_relu_fusion_base.ptx,1.49,8.5,sm_87,0,0,0,0,0,0,NONE,,,,0,DATA_MODULE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00014_optimized_tiled_conv2d_relu_bias_base.ptx,8.47,8.5,sm_87,1,142,31,66,0,17,LOW,1.0,0.118,2.789,0.0,HPC_STENCIL,66,33,43,16,1,1,1,0,0,0,0,6,0,0,13
00014_optimized_tiled_matmul_base.ptx,7.84,8.5,sm_87,1,168,25,111,0,3,LOW,1.0,22.0,0.826,0.0,AI_TRAINING,63,73,32,2,1,64,2,0,0,0,0,3,0,0,5
00015_matmul_optimized_vectorized_base.ptx,9.42,8.5,sm_87,1,214,33,134,0,3,LOW,1.0,22.0,1.123,0.0,AI_TRAINING,90,77,47,2,1,64,2,0,0,0,2,2,0,0,5
00017_coalesced_conv2d_relu_bias_base_base.ptx,7.51,8.5,sm_87,1,123,27,56,0,17,LOW,1.0,0.0,2.882,0.0,AI_TRAINING,61,30,32,16,1,0,0,0,0,0,0,6,0,0,11
00017_minimal_synchronization_base_base.ptx,8.08,8.5,sm_87,1,171,24,111,0,3,LOW,1.0,22.0,0.826,0.0,AI_TRAINING,64,73,34,2,1,64,2,0,0,0,0,3,0,0,6
00017_strided_relu_fusion_base_base.ptx,3.58,8.5,sm_87,1,59,22,29,0,10,LOW,1.0,0.0,2.8,0.0,AI_TRAINING,33,12,14,5,5,0,0,0,0,0,0,4,0,0,5
00018_unrolled_loop_optimization_base.ptx,7.9,8.5,sm_87,1,170,22,111,0,3,LOW,1.0,22.0,0.812,0.0,AI_TRAINING,64,73,33,2,1,64,2,0,0,0,0,2,0,0,5
00019_memory_coalescing_optimization_base_base.ptx,5.66,8.5,sm_87,2,99,25,33,0,14,LOW,1.0,0.0,2.714,0.0,AI_TRAINING,46,23,30,12,2,0,0,0,0,0,0,7,0,0,7
00019_warp_reduction_optimized_base.ptx,14.33,8.5,sm_87,1,418,34,241,0,15,LOW,1.0,1.067,5.097,0.0,CRYPTOGRAPHY,205,35,178,14,1,2,14,0,0,0,0,15,0,0,29
00020_1_mlp_optimized_tiling_base_base.ptx,8.61,8.5,sm_87,1,177,24,114,0,4,LOW,1.0,16.5,0.843,0.0,AI_TRAINING,67,77,33,3,1,64,2,0,0,0,0,3,0,0,5
00020_k_partition_atomic_optimization_base.ptx,7.79,8.5,sm_87,1,156,23,106,0,6,LOW,1.0,34.0,0.714,6.41,AI_TRAINING,54,75,27,2,0,64,4,1,0,0,0,2,0,0,4
00020_warp_aligned_conv2d_relu_bias_base.ptx,8.41,8.5,sm_87,1,146,31,68,0,17,LOW,1.0,0.0,3.294,0.0,AI_TRAINING,70,31,45,16,1,0,0,0,0,0,0,4,0,0,12
00021_fused_linear_relu_balanced_base.ptx,9.37,8.5,sm_87,1,220,32,80,0,36,LOW,1.0,0.0,3.25,0.0,AI_TRAINING,135,44,41,25,11,0,0,0,0,0,0,22,0,0,18
00021_memory_access_optimization_base_base.ptx,8.04,8.5,sm_87,1,166,24,113,0,3,LOW,1.0,22.0,0.812,0.0,AI_TRAINING,62,73,31,2,1,64,2,0,0,0,0,3,0,0,5
00022_atomic_reduce_conv2d_relu_bias_base.ptx,9.4,8.5,sm_87,3,153,34,66,0,11,LOW,1.0,0.714,5.333,6.54,AI_TRAINING,73,38,42,5,2,3,2,1,0,0,0,6,0,0,9
00023_atomic_optimized_conv2d_relu_bias_base.ptx,7.99,8.5,sm_87,1,130,29,62,0,20,LOW,1.0,0.0,3.375,7.69,AI_TRAINING,66,31,33,16,0,0,0,1,0,0,0,5,0,0,12
