PTX Hexadecimal Floating-Point Constants
================================================================================

Total unique constants: 7607
Total occurrences: 1224282

DOUBLE-PRECISION CONSTANTS (0d/0D + 16 hex digits):
--------------------------------------------------------------------------------
0d0000000000000000: 58901 occurrences
0d3FF0000000000000: 36089 occurrences
0d4000000000000000: 21714 occurrences
0d7FF0000000000000: 16340 occurrences
0d3FF71547652B82FE: 9729 occurrences
0d4338000000000000: 9701 occurrences
0dBFF0000000000000: 9039 occurrences
0dC338000000000000: 6911 occurrences
0dBFE62E42FEFA39EF: 6909 occurrences
0dBC7ABC9E3B39803F: 6907 occurrences
0d3E928AF3FCA213EA: 6898 occurrences
0d3E5ADE1569CE2BDF: 6898 occurrences
0d3EC71DEE62401315: 6898 occurrences
0d3EFA01997C89EB71: 6898 occurrences
0d3F2A01A014761F65: 6898 occurrences
0d3F56C16C1852B7AF: 6898 occurrences
0d3F81111111122322: 6898 occurrences
0d3FA55555555502A1: 6898 occurrences
0d3FC5555555555511: 6898 occurrences
0d3FE000000000000B: 6898 occurrences
0d3FE0000000000000: 5214 occurrences
0d3FE62E42FEFA39EF: 4496 occurrences
0d4020000000000000: 4380 occurrences
0dFFF8000000000000: 4270 occurrences
0d3FF921FB54442D18: 4254 occurrences
0dFFF0000000000000: 4218 occurrences
0d4008000000000000: 4107 occurrences
0d3BF921FB54442D19: 3283 occurrences
0d41E0000000000000: 3270 occurrences
0d3DE5DB65F9785EBA: 3220 occurrences
0dBDA8FF8320FD8164: 3220 occurrences
0d3C91A62633145C00: 3209 occurrences
0d397B839A252049C0: 3209 occurrences
0d3FE45F306DC9C883: 3131 occurrences
0d8000000000000000: 2885 occurrences
0d3C7ABC9E3B39803F: 2610 occurrences
0d4350000000000000: 2575 occurrences
0d3ED0EE258B7A8B04: 2192 occurrences
0d3EB1380B3AE80F1E: 2192 occurrences
0d3EF3B2669F02676F: 2192 occurrences
0d3F1745CBA9AB0956: 2192 occurrences
0d3F3C71C72D1B5154: 2192 occurrences
0d3F624924923BE72D: 2192 occurrences
0d3F8999999999A3C4: 2192 occurrences
0d3FB5555555555554: 2192 occurrences
0d4010000000000000: 1951 occurrences
0d3E928A27F89B6999: 1851 occurrences
0d3E5AE904A4741B81: 1851 occurrences
0d3EC71DE715FF7E07: 1851 occurrences
0d3EFA019A6B0AC45A: 1851 occurrences
0d3F2A01A017EED94F: 1851 occurrences
0d3F56C16C17F2A71B: 1851 occurrences
0d3F811111111173C4: 1851 occurrences
0d3FA555555555211A: 1851 occurrences
